cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
32,Zacatecas,0,Estatal,1001000001,Superficie continental,2020,75275.34452365,Kilómetros cuadrados
32,Zacatecas,0,Estatal,1002000001,Población total,1910,477556,Personas
32,Zacatecas,0,Estatal,1002000001,Población total,1921,379329,Personas
32,Zacatecas,0,Estatal,1002000001,Población total,1930,459047,Personas
32,Zacatecas,0,Estatal,1002000001,Población total,1940,565437,Personas
32,Zacatecas,0,Estatal,1002000001,Población total,1950,665524,Personas
32,Zacatecas,0,Estatal,1002000001,Población total,1960,817831,Personas
32,Zacatecas,0,Estatal,1002000001,Población total,1970,951462,Personas
32,Zacatecas,0,Estatal,1002000001,Población total,1980,1136830,Personas
32,Zacatecas,0,Estatal,1002000001,Población total,1990,1276323,Personas
32,Zacatecas,0,Estatal,1002000001,Población total,1995,1336496,Personas
32,Zacatecas,0,Estatal,1002000001,Población total,2000,1353610,Personas
32,Zacatecas,0,Estatal,1002000001,Población total,2005,1367692,Personas
32,Zacatecas,0,Estatal,1002000001,Población total,2010,1490668,Personas
32,Zacatecas,0,Estatal,1002000001,Población total,2015,1581575,Personas
32,Zacatecas,0,Estatal,1002000001,Población total,2020,1622138,Personas
32,Zacatecas,0,Estatal,1002000002,Población total hombres,1995,655540,Personas
32,Zacatecas,0,Estatal,1002000002,Población total hombres,2000,653583,Personas
32,Zacatecas,0,Estatal,1002000002,Población total hombres,2005,659333,Personas
32,Zacatecas,0,Estatal,1002000002,Población total hombres,2010,726897,Personas
32,Zacatecas,0,Estatal,1002000002,Población total hombres,2020,791058,Personas
32,Zacatecas,0,Estatal,1002000003,Población total mujeres,1995,680956,Personas
32,Zacatecas,0,Estatal,1002000003,Población total mujeres,2000,700027,Personas
32,Zacatecas,0,Estatal,1002000003,Población total mujeres,2005,708359,Personas
32,Zacatecas,0,Estatal,1002000003,Población total mujeres,2010,763771,Personas
32,Zacatecas,0,Estatal,1002000003,Población total mujeres,2020,831080,Personas
32,Zacatecas,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,1995,28.8,No especificada
32,Zacatecas,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2000,27.3,No especificada
32,Zacatecas,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2005,26.3,No especificada
32,Zacatecas,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2010,26.4,No especificada
32,Zacatecas,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2015,25.3167250186644,No especificada
32,Zacatecas,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2020,24.0155405238601,No especificada
32,Zacatecas,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,1995,27.9,No especificada
32,Zacatecas,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2000,26,No especificada
32,Zacatecas,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2005,25.2,No especificada
32,Zacatecas,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2010,26,No especificada
32,Zacatecas,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2015,12.3152160353696,No especificada
32,Zacatecas,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2020,24.0531753193417,No especificada
32,Zacatecas,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,1995,29.8,No especificada
32,Zacatecas,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2000,28.5,No especificada
32,Zacatecas,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2005,27.4,No especificada
32,Zacatecas,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2010,26.7,No especificada
32,Zacatecas,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2015,13.0015089832948,No especificada
32,Zacatecas,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2020,23.9797190590973,No especificada
32,Zacatecas,0,Estatal,1002000007,Porcentaje de población de 60 y más años,1995,7.9,No especificada
32,Zacatecas,0,Estatal,1002000007,Porcentaje de población de 60 y más años,2000,8.7,No especificada
